jobid,title,primaryresponsibility,primaryperks,primaryrequirement,datecreated,dateupdated,dateactivated,activestatus,expirydate,company,minexp,maxexp,mincompensation,maxcompensation,numberofdays,additionalcompensation,professions,cities
240,UX Designer,"<p>We are looking for creative &amp; smart UX designers who are passionate about challenging the status quo! If you are capable &amp; willing to disrupt the flow &amp; innovate; &amp; hold 2-4 years of relevant UI/UX design experience in a product team, you have come to the right place. You will be responsible for creation of all online visual design, including typography, visual concept, logo and icon design for the Internet and interactive platforms. The position is based in Gurgaon, India.</p>","<div id=""job-details"" class=""jobs-box__html-content jobs-description-content__text Sans-15px-black-70%"" tabindex=""-1"" data-artdeco-is-focused=""true"">
<p><strong>Compensation:</strong>&nbsp;​Commensurate to skills &amp; experience; comparable to the best in the industry.</p>
</div>
<div class=""jobs-box__html-content jobs-description-content__text Sans-15px-black-70%"" tabindex=""-1"" data-artdeco-is-focused=""true""><strong>Culture:</strong>&nbsp;​ixigems enjoy a fun and rewarding work atmosphere. We do not believe in hierarchies, and we encourage communication and constructive collaboration. We believe in the personal growth of individuals, creative approaches to solve real-world problems, and questioning the status quo!</div>","<div id=""job-details"" class=""jobs-box__html-content jobs-description-content__text Sans-15px-black-70%"" tabindex=""-1"" data-artdeco-is-focused=""true""><strong>Skills &amp; Qualifications:</strong>
<p>● 2-4 years of relevant UI/ UX experience</p>
<p>● Bachelor&rsquo;s degree / diploma in Graphic Design</p>
<p>● Understanding of and experience in corporate branding, layout, colour theory and typography primarily in digital media</p>
<p>● Portfolio must exhibit understanding of user experience design principles and knowledge of UI best practices and usability</p>
<p>● Skill in animation, video and/or storyboarding as well as writing skills are considered a bonus</p>
<p><strong>Must have</strong></p>
<p>● A passion for design with strong opinion about aesthetics &amp; love for typography (using and choosing)</p>
<p>● Experience of designing mobile products from ideation to launch, conducting user tests on usability and workflows &amp; dealing with content (curated, user generated, or auto​generated)</p>
<p>● Experience delivering sitemaps, wireframes, flow diagrams and other IA materials</p>
<p>● Experience following existing branding while pushing limits where appropriate</p>
<p>● Experience forming the branding of new properties, from logo to multi​platform interfaces</p>
<p>● Proficient in Photoshop, Illustrator, Sketch or comparable tool</p>
<p>● Knowledge of conversion metrics, and how they can help influence your designs</p>
<p>● Experience designing for native iOS and/or Android experiences</p>
<p>● Experience building and testing prototypes with users is a plus</p>
<p><strong>Good to have</strong></p>
<p>● Strong design style, including creative design solutions within the constraints of the Internet. Knowledge of UX design principles for mobile apps / mobile web / web.</p>
<p>● Fluency in current graphic design trends on mobile web / mobile apps / web</p>
<p>&nbsp;</p>
</div>",11/8/2017 10:11,11/20/2017 7:39,11/8/2017 12:06,1,12/23/2017 12:06,ixigo.com,12,48,NULL,NULL,5,NULL,UX Design$$$UI Design$$$Visual Design$$$Interaction Design,Gurgaon
241,NULL,NULL,NULL,NULL,11/8/2017 15:58,12/23/2017 16:30,NULL,5,NULL,SAD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
242,UX Designers,"<p>Shout, cry and howl for your Creative talent to be noticed, OR just join CrewKarma Our Vision is ""To connect the Creative World through an Inclusive professional network that facilitates continuous learning, elevates performance and drives design thinking""​. Businesses need to continuously refine every touch point with their users. The creative industry designs each of these touch points for an improved engagement experience that directly contributes to better business outcomes. CrewKarma helps business to achieve these outcomes by enabling easy Discovery, Assessment, On Boarding and Service Delivery with assured quality and quick turn-around times.</p>",,<p>tyrgefwd</p>,11/8/2017 15:59,12/28/2017 12:55,NULL,-4,NULL,CrewKarma Networks,24,132,NULL,10000000,-1,ESOPs and Equity,UI Design$$$UX Design,Bengaluru
243,UX Designer,"<p class=""p1""><span class=""s1""><strong>Job Description</strong></span><span class=""s2""><br /> </span><span class=""s1"">We are looking for a user-experience designer responsible for conceiving and conducting user research, interviews and surveys, and translating them into sitemaps, wireframes and prototypes. You will also design the overall functionality of the product and iterate upon it to ensure a great user experience.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1""><strong>Responsibilities</strong></span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Translate concepts into wireframes and mock-ups that lead to intuitive user experiences.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Facilitate client's product visions by researching, conceiving, </span><span class=""s1"">wireframing, sketching, prototyping, and mocking up user experiences for digital products.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Design and deliver wireframes, user stories, user journeys, and mock-ups optimised for a wide range of devices and interfaces.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Identify design problems and devise elegant solutions.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Make strategic design and user-experience decisions related to core, and new, functions and features.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Take a user-centred design approach and rapidly test and iterate your designs.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Collaborate with other team members and stakeholders.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Take smart risks and champion new ideas.</span><span class=""s2""><br /> </span><span class=""s1""><br /> </span><span class=""s2""><br /> </span></p>",,"<p class=""p1""><span class=""s2""><br /> </span>-One or more years of UX design experience. Preference will be given to candidates who have experience designing complex solutions for complete digital environments.</p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Ability to work with clients to understand detailed requirements and design complete user experiences that meet client needs and vision.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Extensive experience in using UX design best practices to design solutions, and a deep understanding of mobile-first and responsive design.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-A solid grasp of user-centred design and testing methodologies, subsystems, and usability and accessibility concerns.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Ability to iterate your designs and solutions efficiently and intelligently.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Ability to clearly and effectively communicate design processes, ideas, and solutions to teams and clients.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-A clear understanding of the importance of user-centred design.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Be excited about collaborating and communicating closely with teams and other stakeholders via a distributed model to regularly deliver design solutions for approval.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Be willing to help teammates, share knowledge and experience with them, and learn from them.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Be open to receiving feedback and constructive criticism.</span></p>
<p class=""p1""><span class=""s2""><br /> </span><span class=""s1"">-Be passionate about all things UX and other areas of design and innovation. Research and showcase knowledge in the industry's latest trends and technologies.</span><span class=""s2""><br /> </span><span class=""s1""><br /> </span><span class=""s2""><br /> </span><span class=""s1"">Skills: Wireframe, Prototyping, Visual Design</span></p>",11/9/2017 9:46,12/18/2017 11:42,11/9/2017 11:22,1,1/2/2018 11:42,Pebels LLP,12,60,NULL,600000,-1,NULL,UX Design$$$UI Design,Bengaluru
244,NULL,NULL,NULL,NULL,11/10/2017 6:59,12/23/2017 16:30,NULL,5,NULL,Pebels LLP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bengaluru
245,Associate Creative Director,"<p>The Associate Creative Director will report to VP of Design and be a part of the strategy management and leadership team. You will be the key decision maker for project and product roadmaps and have an intimate understanding of the client&rsquo;s expectations.</p>
<ul>
<li>A strategic thinker capable to develop in-depth product strategy backed with UX best practices</li>
<li>Reviewing and facilitating design deliverables, including: user research, personas mapping, conceptual models, app maps, wireframes, interactive prototypes that manifest in beautiful UI</li>
<li>Lead collaborative design sessions in order to set UX standards across the company, from business to engineering teams</li>
<li>High comfort levels interacting with clients and internal staff alike.</li>
</ul>
<p>One has to be a decision maker and take complete ownership on projects/products&nbsp;</p>",,"<ul>
<li>10+ years of experience in managing, designing and visualizing sound mobile experiences</li>
<li>Excellent communication and presentation skills.</li>
<li>Excellent design skills to render great UI&nbsp;</li>
<li>An intimate understanding of design for mobility including web</li>
<li>Excellent leadership and communication skills - A team player who is efficient in managing design talent and teams</li>
<li>Highly proficient creative tool skills, especially with Sketch, Adobe Creative Suite, Invision and other design applications&nbsp;</li>
<li>Strong persuasive skills</li>
<li>Excellent knowledge on design for mobility &ndash; iOS and Android</li>
</ul>",11/10/2017 9:03,1/8/2018 11:27,11/10/2017 9:05,1,NULL,Robosoft Technologies,120,180,NULL,NULL,5,NULL,UX Design$$$UI Design$$$Creative Direction$$$Information Architecture$$$Mobile Design,Mumbai
246,Product Designer,"<ul>
<li>Illustrates concept by designing rough layout of art and copy regarding arrangement, size, type size and style, and related aesthetic concepts.</li>
<li>As well as making the Product look attractive to the eye, He/She should also be tasked with taking into consideration user experience techniques.</li>
<li>Create mock-ups for proposed project pages and update them as needed.</li>
</ul>
<p>&nbsp;</p>
<div>&nbsp;</div>","<p>The Suitable candidate can work in a fast-paced&nbsp;and fun-filled start-up environment where he/she can exhibit&nbsp;their ideas freely.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","<div dir=""ltr""><ul><li>Ideal candidate should have&nbsp;at least&nbsp;1 year of experience in designing web and mobile applications and should be able to exhibit strong knowledge in design standards and principles.</li><li>Experienced in either<strong>&nbsp;Corel draw, Photoshop, Illustrator or Sketch.</strong></li><li>Experience in a startup environment will be a added plus.</li></ul></div>",11/13/2017 3:45,11/13/2017 7:59,11/13/2017 7:59,1,11/28/2017 7:59,Shortcastle Technologies,12,180,NULL,600000,6,ESOPs and Equity,Graphic Design$$$Branding$$$UX Design$$$UI Design$$$Product Design$$$Game Design,Chennai
247,UI/UX designer,"<div class=""freetext-container"">Selected applicant's&nbsp;day-to-day responsibilities include: <br /><br />1. UI/UX designs for our app/website/web application<br />2. Research on UX trends and incorporating the same into designs<br />3. Interaction with customers using our product to understand their journey and propose how to make it better</div>
<div id=""numberOfPositionsContainer"">&nbsp;</div>","<p>We are a young and vibrant startup and believe in giving freedom to grow to all our team members. We follow a 6 day work week, with flexi timings and option to work from home too. We have a lenient leave policy of 30 vacation days. We encourage our team members to work hard and party hard.&nbsp;</p>","<p>An ideal candidate would&nbsp;</p>
<p>1. Be creative and fearless of exploring new and bold thoughts in design</p>
<p>2. Be a self-starter and believes in taking up initiatives rather than us having to push her/him</p>
<p>3. Follows highest level of ethics in work and otherwise</p>",11/13/2017 7:13,12/1/2017 10:45,12/1/2017 10:45,1,12/16/2017 10:45,FamousEnuf,12,48,NULL,NULL,6,NULL,Interaction Design$$$UI Design$$$UX Design,Bengaluru
248,NULL,NULL,NULL,NULL,11/13/2017 8:17,11/13/2017 8:17,NULL,-2,NULL,Sundyota Numandis Pharmaceuticals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mumbai
249,Creative Designer,"<p>A creative designer to join our&nbsp;awesome team.</p>
<ul>
<li>Ideating and designing banners for the website and landing pages</li>
<li>Ideating on marketing campaigns with the team</li>
<li>Designing creative ads for the digital platforms</li>
<li>Designing some offline collateral like posters, banners and the like</li>
<li>Making simple GIFs and video content&nbsp;</li>
</ul>","<ul>
<li>Learning and a lot of it. If you are looking to gain experience.</li>
<li>Fun environment. Everyone here knows to have fun while wrapping up work.</li>
<li>Since you will be joining us at this stage there could be a possibility of growing into a bigger role within a short time frame.</li>
<li>We don't believe in stifling creativity and would love to hear your ideas and see different outputs.</li>
</ul>",<p>An enthusiastic designer looking to do something different and be part of a young and fun team!&nbsp;</p>,11/13/2017 9:14,11/13/2017 10:51,11/13/2017 10:51,1,11/28/2017 10:51,Love This Stuff,0,36,NULL,400000,5,NULL,Graphic Design$$$Communication Design$$$Branding,Bengaluru
